LA Code,Area Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E92000001,England,0.00184905356186469,0.00187762195452854,0.00183218236530228,0.00184407652184825,0.0017970724702899,0.00172533625972481,0.00179210754227435,0.0017946420950338,0.00181958660017193,0.00160300227737729
N92000002,Northern Ireland,0.00568974126917112,0.00566615888933854,0.00566423916162265,0.00602065310584418,0.00565612509255404,0.00580301019742371,0.00575091109098937,0.00555366299947758,0.00604488539959771,0.00529883777980596
S92000003,Scotland,0.0082427970339063,0.00849066546221018,0.00895039135086435,0.00920824295010846,0.00877610273590173,0.0085675430643699,0.00876861819790591,0.00877144590941689,0.00869437885527062,0.00764727405781193
W92000004,Wales,0.0186444229602991,0.0192686106060798,0.0178477114675131,0.0185909866508669,0.0185596656562612,0.0188407240255047,0.0216596563701437,0.0220207472621025,0.0225073654903978,0.0207904123756226
,,,,,,,,,,,
E12000001,North East,0.0162857542305024,0.0161079040127391,0.0158854622546937,0.0168161280862217,0.0165378904578601,0.0163430857065701,0.0195078735914898,0.019884804182536,0.0205806045901389,0.0192434019717521
E12000002,North West,0.0154604029132247,0.0156092128274945,0.0150091053859738,0.0159689590364594,0.0162754150489368,0.0162326457742504,0.0187674611190243,0.0188988264411877,0.0195616627045511,0.0176229080974491
E12000003,Yorkshire and The Humber,0.019252064781064,0.0199394496451596,0.0187508664391132,0.0197128159702484,0.0194786437859297,0.019406234044867,0.0225508382368861,0.0230558168776456,0.0237517324744997,0.0213683534340026
E12000004,East Midlands,0.0247418813394666,0.0258919067787148,0.0250039795170128,0.0259865022602256,0.0258464860473444,0.025923786184844,0.0316396830792432,0.0314182595086039,0.0317678426974099,0.0289671350791878
E12000005,West Midlands,0.0181979069179896,0.0186038293651532,0.0183688896798783,0.0191044307990336,0.0189385567273996,0.0190924684202945,0.0230900509256052,0.0230009471666093,0.0232191002516499,0.0208201070492453
E12000006,East,0.024793864920584,0.0256825615814927,0.0251160379130548,0.0263813203706012,0.0260034200300528,0.0256070928315444,0.0286077563957907,0.0289401397855323,0.0298094698072761,0.0272717513555642
E12000007,London,0.0245745975303273,0.0244898411124643,0.0233527746737792,0.0239411490130803,0.0237143948318493,0.022615132469803,0.0259948979042609,0.0266359275359081,0.0284868682610523,0.0243157224980472
E12000008,South East,0.0264762185211141,0.0275927778429805,0.0264533067429503,0.0273070614677364,0.0268494217260793,0.0264392940824976,0.0296063408335696,0.0300298074422806,0.0307996559963443,0.0279592699135807
