,DCLG code,"Former
ONS code",LA code,Authority Data,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
20,A0015,A0015,E06000059,Dorset,,,,,,,,,,,,,,,,,,,1431.6,1387.6,1818.0,1687.0,1480.0
21,E2001,00FB,E06000011,East Riding of Yorkshire,1594.29999999999,1236.30000000002,1843.29999999999,1526.30000000002,1302.29999999999,1462.29999999999,1622.30000000002,544.299999999988,1004.30000000002,1181.29999999999,2826.4,3006.4,2474.4,1737.4,1866.4,2183.4,2167.4,2456.4,2265.4,2471.4,1497.0,1926.0,2401.0
22,D0650,00ET,E06000006,Halton,345.599999999999,506.599999999999,294.600000000006,522.599999999999,858.599999999999,536.599999999999,431.599999999999,510.600000000006,231.599999999999,290.599999999999,229.8,316.8,374.8,427.8,437.8,600.8,270.8,498.8,502.8,-1.2,158.0,360.0,361.0
23,H0724,00EB,E06000001,Hartlepool,330.300000000003,396.299999999996,371.300000000003,218.299999999996,243.300000000003,244.300000000003,-150.700000000004,487.300000000003,320.299999999996,331.300000000003,190.0,79.0,49.0,341.0,493.0,150,230,336,220.0,126.0,355.0,508.0,585.0
24,W1850,00GA,E06000019,"Herefordshire, County of",347.500390930421,579.500390930407,672.500390930407,547.500390930421,736.500390930421,787.500390930407,729.500390930407,570.500390930421,311.500390930421,329.496481626265,374.22413793103,260.086206896552,417.086206896552,556.086206896552,434.086206896552,320.086206896552,837.086206896552,728.086206896552,967.086206896552,705.086206896552,1042.0,704.0,1060.0
25,P2114,00MW,E06000046,Isle of Wight,488.300000000003,414.299999999996,481.300000000003,310.299999999996,769.300000000003,1622.3,576.300000000003,605.299999999988,391.300000000003,398.300000000003,726.8,630.8,509.8,712.8,621.8,525.8,577.8,554.8,457.8,649.8,490.0,357.0,262.0
26,Z0835,00HF,E06000053,Isles of Scilly,,,,,,,,,12.5,11.5,3.2,-9.8,-10.8,-10.8,-8.8,-9.8,-10.8,-10.8,-10.8,-10.8,-4.0,2.0,1.0
27,V2004,00FA,E06000010,"Kingston upon Hull, City of",-2.30000000000291,-42.3000000000029,619.700000000012,201.699999999997,620.699999999997,1038.7,870.699999999997,585.700000000012,235.699999999997,690.699999999997,398.3,252.3,266.3,819.3,569.3,644.3,1361.3,704.3,814.3,601.3,621.0,623.0,537.0
28,W2465,00FN,E06000016,Leicester,432.399999999994,972.400000000009,1233.39999999999,1103.40000000001,1272.39999999999,1356.39999999999,1083.40000000001,1349.39999999999,1071.40000000001,1329.39999999999,401.5,651.5,630.5,665.5,635.5,1064.5,1458.5,941.5,952.5,554.5,854.0,1645.0,592.0
29,B0230,00KA,E06000032,Luton,209.5,212.5,524.5,546.5,555.5,398.5,467.5,411.5,375.5,213.5,426.7,417.7,253.7,256.7,690.7,864.7,939.7,693.7,857.7,540.7,412.0,1146.0,390.0
30,A2280,00LC,E06000035,Medway,788.699999999997,758.699999999997,815.700000000012,728.699999999997,612.699999999997,673.699999999997,843.699999999997,996.700000000012,570.699999999997,739.699999999997,816.7,652.7,583.7,490.7,560.7,653.7,692.7,656.7,1141.7,1086.7,1103.0,960.0,1303.0
31,W0734,00EC,E06000002,Middlesbrough,90.5999999999985,-194.400000000001,18.6000000000058,152.599999999999,94.5999999999985,418.599999999999,274.599999999999,-46.3999999999942,112.599999999999,250.599999999999,93.1,253.1,139.1,645.1,524.1,503.1,374.1,510.1,612.1,423.1,600.0,603.0,513.0
32,Y0435,00MG,E06000042,Milton Keynes,1229.2,1214.2,1170.20000000001,1396.2,1831.2,1699.2,2337.2,1877.20000000001,1449.2,1331.2,1601.0,1323.0,1254.0,1442.0,1215.0,1250,1506,1802,2097.0,2014.0,2003.0,2895.0,2200.0
33,B2002,00FC,E06000012,North East Lincolnshire,346.899999999994,281.900000000009,401.899999999994,295.900000000009,252.899999999994,423.899999999994,624.900000000009,137.899999999994,313.900000000009,268.899999999994,132.3,250.3,159.3,211.3,202.3,121.3,31.3,153.3,93.3,89.3,524.0,423.0,459.0
34,Y2003,00FD,E06000013,North Lincolnshire,846.899999999994,670.900000000009,667.899999999994,587.900000000009,1266.89999999999,816.899999999994,601.900000000009,529.899999999994,511.900000000009,592.899999999994,323.4,228.4,260.4,241.4,281.4,174.4,258.4,226.4,320.4,343.4,410.0,500.0,529.0
35,A0017,A0017,E06000061,North Northamptonshire,,,,,,,,,,,,,,,,,,,,,1543.0,2024.0,1728.0
36,D0121,00HC,E06000024,North Somerset,815.0,1717.0,1014.0,807.0,1002.0,881.0,1223.0,684.0,521.0,386.0,605.8,617.8,852.8,764.8,659.8,942.8,953.8,819.8,958.8,1056.8,1017.0,979.0,754.0
37,E2702,E2702,E06000065,North Yorkshire,,,,,,,,,,,,,,,,,,,,,,,2978.0
38,P2935,00EM,E06000057,Northumberland,,,,,,,,,710.851976102946,1241.85197610295,476.4,539.4,477.4,1365.4,909.4,1449.4,1294.4,1720.4,1662.4,1197.4,1592.0,1594.0,1509.0
39,Q3060,00FY,E06000018,Nottingham,1305.7,1187.7,1031.70000000001,1222.7,1146.7,1440.7,1345.7,891.700000000012,1082.7,475.699999999997,-325.5,51.5,-284.5,275.5,199.5,226.5,645.5,708.5,1058.5,659.5,1722.0,1943.0,2015.0
40,J0540,00JA,E06000031,Peterborough,595.100000000006,659.099999999991,547.100000000006,844.099999999991,824.100000000006,1218.10000000001,959.099999999991,1015.10000000001,1084.09999999999,678.100000000006,852.4,883.4,974.4,1453.4,1031.4,1312.4,817.4,1215.4,1244.4,1358.4,997.0,765.0,856.0
41,N1160,00HG,E06000026,Plymouth,418.800000000003,427.800000000003,323.799999999988,963.800000000003,720.800000000003,1342.8,772.800000000003,892.799999999988,396.800000000003,517.800000000003,546.8,638.8,827.8,774.8,1202.8,602.8,1539.8,943.8,769.8,611.8,339.0,397.0,236.0
42,Q1255,00HP,E06000029,Poole,366.599999999999,298.599999999999,467.600000000006,383.599999999999,798.599999999999,636.599999999999,589.599999999999,823.600000000006,391.599999999991,227.600000000006,185.82206553724,206.82206553724,175.82206553724,298.82206553724,333.82206553724,627.82206553724,305.82206553724,424.82206553724,,,,,
43,Z1775,00MR,E06000044,Portsmouth,515.800000000003,623.800000000003,595.799999999988,755.800000000003,652.800000000003,544.800000000003,730.800000000003,1327.79999999999,751.800000000003,335.800000000003,270.3,345.3,230.3,413.3,414.3,387.3,402.3,177.3,162.3,279.3,144.0,-26.0,243.0
44,E0345,00MC,E06000038,Reading,529.372657342654,478.372657342661,533.372657342654,1086.37265734266,565.372657342654,546.372657342654,746.372657342661,691.372657342654,602.372657342661,307.646083916086,386.1,523.1,440.1,714.1,830.1,796.1,779.1,989.1,600.1,487.1,850.0,888.0,1021.0
45,V0728,00EE,E06000003,Redcar and Cleveland,159.199999999997,374.200000000004,-91.8000000000029,320.200000000004,143.199999999997,378.199999999997,192.200000000004,288.199999999997,139.200000000004,134.199999999997,309.9,77.9,250.9,488.9,240.9,539.9,444.9,518.9,390.9,379.9,444.0,452.0,482.0
46,A2470,00FP,E06000017,Rutland,195.1,97.1000000000004,185.099999999999,317.1,316.1,217.1,116.1,147.099999999999,131.1,137.1,33.9,86.9,144.9,202.9,197.9,234.9,228.9,190.9,165.9,91.9,96.0,96.0,110.0
47,L3245,00GG,E06000051,Shropshire,,,,,,,,,1344.19999999998,1229.20000000001,580.7,701.7,664.7,1005.7,1252.7,1760.7,1726.7,1666.7,1392.7,1432.7,1506.0,1426.0,1514.0
48,J0350,00MD,E06000039,Slough,666.699999999997,346.700000000004,487.699999999997,988.700000000004,540.699999999997,479.699999999997,1033.7,742.699999999997,422.700000000004,393.699999999997,178.6,114.6,328.6,403.6,721.6,456.6,778.6,466.6,435.6,471.6,532.0,322.0,827.0
49,E3301,E3301,E06000066,Somerset,,,,,,,,,,,,,,,,,,,,,,,1926.0
50,P0119,00HD,E06000025,South Gloucestershire,930.399999999994,1355.40000000001,852.399999999994,650.400000000009,740.399999999994,793.399999999994,1107.40000000001,1020.39999999999,846.400000000009,818.399999999994,863.3,763.3,1035.3,1164.3,1047.3,1570.3,1539.3,1513.3,1454.3,1581.3,1657.0,1785.0,1583.0
51,D1780,00MS,E06000045,Southampton,357.899999999994,848.900000000009,843.899999999994,856.900000000009,878.899999999994,1116.89999999999,748.900000000009,882.899999999994,373.900000000009,639.899999999994,552.4,345.4,380.4,1298.4,936.4,887.4,716.4,1506.4,350.4,535.4,413.0,367.0,261.0
52,D1590,00KF,E06000033,Southend-on-Sea,489.180723643163,513.180723643178,446.180723643163,620.180723643178,749.180723643163,582.180723643163,373.180723643178,454.180723643163,278.180723643178,226.373487211473,420.2,346.2,204.2,277.2,314.2,572.2,613.2,584.2,310.2,329.2,489.0,341.0,173.0
53,H0738,00EF,E06000004,Stockton-on-Tees,927.0,801.0,-134.0,439.0,481.0,648.0,1236.0,591.0,636.0,553.0,455.1,600.1,342.1,425.1,348.1,908.1,754.1,782.1,996.1,600.1,337.0,604.0,666.0
54,M3455,00GL,E06000021,Stoke-on-Trent,685.978014073495,261.978014073495,41.9780140734947,621.978014073495,570.978014073495,482.978014073495,510.978014073495,100.978014073495,-76.0219859265053,652.197873338548,276.734717868343,264.585031347962,475.585031347962,502.585031347962,432.585031347962,735.585031347962,662.585031347962,995.585031347962,892.585031347962,462.585031347962,455.0,429.0,450.0
55,U3935,00HX,E06000030,Swindon,879.5,1104.5,1318.5,1771.5,1613.5,2326.5,2006.5,1031.5,943.5,843.5,847.2,558.2,554.2,645.2,1400.2,1657.2,772.2,1082.2,681.2,525.2,1099.0,1008.0,720.0
56,C3240,00GF,E06000020,Telford and Wrekin,636.0,422.0,-21.0,52.0,446.0,347.0,232.0,324.0,342.0,413.0,794.6,681.6,916.6,1148.6,1329.6,1222.6,1121.6,1430.6,1065.6,910.6,1632.0,1548.0,1000.0
57,M1595,00KG,E06000034,Thurrock,818.900000000002,869.900000000002,397.899999999994,1079.9,651.900000000002,325.900000000001,74.9000000000015,42.8999999999942,0.900000000001455,200.900000000001,418.2,386.2,398.2,384.2,786.2,678.2,932.2,483.2,633.2,568.2,319.0,177.0,525.0
58,X1165,00HH,E06000027,Torbay,515.599999999999,482.599999999999,336.600000000006,297.599999999999,313.599999999999,337.599999999999,622.599999999999,344.600000000006,217.599999999999,297.599999999999,458.7,449.7,602.7,499.7,608.7,526.7,614.7,731.7,388.7,460.7,312.0,251.0,211.0
59,M0655,00EU,E06000007,Warrington,299.5,351.5,420.5,1059.5,1224.5,1352.5,1790.5,606.5,375.5,498.5,657.0,704.0,750.0,744.0,652.0,549,416,560,598.0,632.0,684.0,1473.0,655.0
60,W0340,00MB,E06000037,West Berkshire,349.0,382.0,618.0,948.0,1052.0,1045.0,664.0,509.0,227.0,180.0,165.2,555.2,450.2,499.2,628.2,488.2,529.2,530.2,401.2,620.2,723.0,638.0,673.0
61,A0018,A0018,E06000062,West Northamptonshire,,,,,,,,,,,,,,,,,,,,,2192.0,2227.0,1863.0
62,E0902,E0902,E06000064,Westmorland and Furness,,,,,,,,,,,,,,,,,,,,,,,800.0
63,Y3940,00HY,E06000054,Wiltshire,,,,,,,,,1369.69999999998,1795.70000000001,2035.0,1989.0,2519.0,2411.0,2086.0,3131,2717,2989,2090.0,2147.0,1854.0,2405.0,1795.0
64,T0355,00ME,E06000040,Windsor and Maidenhead,424.5,411.5,374.5,451.5,498.5,456.5,545.5,568.5,448.5,287.5,172.1,188.1,355.1,509.1,597.1,579.1,510.1,649.1,399.1,305.1,288.0,316.0,857.0
65,X0360,00MF,E06000041,Wokingham,203.099999999999,398.099999999999,406.100000000006,343.099999999999,622.099999999999,985.099999999999,455.099999999999,335.100000000006,193.099999999999,187.099999999999,314.4,442.4,534.4,495.4,679.4,974.4,1550.4,1291.4,1596.4,1170.4,1481.0,851.0,799.0
66,C2741,00FF,E06000014,York,821.0,939.0,1053.0,360.0,1173.0,795.0,602.0,385.0,642.0,486.0,232.5,31.5,12.5,227.5,634.5,321.5,1239.5,392.5,503.5,565.5,402.0,459.0,528.0
67,,,,London Boroughs,19688.1101379229,21648.1101379229,25775.1101379229,26873.1101379229,28852.1101379229,30927.110137923,31557.1101379229,32290.1101379229,28330.1101379229,21820.0087586939,29672.338946456,25844.9623392827,28382.9623392827,31648.9623392827,35195.9623392827,44365.9623392827,36528.9623392827,41423.9623392827,45675.9623392827,38828.9623392827,39173.0,35263.0,32162.0
68,Z5060,00AB,E09000002,Barking and Dagenham,227.699999999997,311.699999999997,61.7000000000116,361.699999999997,267.699999999997,306.699999999997,715.699999999997,287.700000000012,107.699999999997,132.699999999997,285.8,439.8,664.8,447.8,665.8,529.8,346.8,839.8,674.8,981.8,1206.0,1241.0,975.0
69,N5090,00AC,E09000003,Barnet,285.600000000006,1082.60000000001,972.599999999977,1046.60000000001,1038.60000000001,487.600000000006,1251.60000000001,1088.59999999998,847.600000000006,729.600000000006,2010.78093346574,1270.13545183714,1009.13545183714,1220.13545183714,1354.13545183714,1695.13545183714,2104.13545183714,2105.13545183714,1886.13545183714,2146.13545183714,2000.0,2246.0,2475.0
70,D5120,00AD,E09000004,Bexley,301.600000000006,315.599999999991,726.600000000006,270.599999999991,212.600000000006,312.600000000006,332.599999999991,292.600000000006,427.599999999991,238.600000000006,211.1,426.1,536.1,818.1,-123.9,772.1,285.1,494.1,216.1,640.1,710.0,572.0,697.0
71,T5150,00AE,E09000005,Brent,1401.10000000001,1018.09999999999,608.100000000006,639.099999999991,1674.10000000001,1202.10000000001,1067.09999999999,1207.10000000001,1170.09999999999,669.100000000006,817.6,919.6,991.6,1816.6,1308.6,1621.6,951.6,1998.6,2690.6,2661.6,3574.0,2288.0,864.0
72,G5180,00AF,E09000006,Bromley,257.199999999997,340.199999999997,494.200000000012,831.199999999997,747.199999999997,952.200000000012,773.199999999983,560.200000000012,625.199999999983,738.200000000012,740.2,856.2,313.2,575.2,864.2,1022.2,718.2,872.2,649.2,436.2,120.0,399.0,168.0
73,X5210,00AG,E09000007,Camden,772.100000000006,576.099999999991,381.100000000006,722.099999999991,787.100000000006,647.100000000006,519.099999999991,1040.10000000001,582.099999999991,689.100000000006,482.4,678.4,568.4,553.4,1079.4,1322.4,1059.4,941.4,1099.4,623.4,536.0,358.0,611.0
74,K5030,00AA,E09000001,City of London,108.1,9.09999999999945,137.1,111.099999999999,-0.899999999999636,1.10000000000036,46.0999999999995,46.1000000000004,-7.90000000000055,54.1000000000004,19.8,36.8,438.8,227.8,78.8,8.8,139.8,352.8,298.8,207.8,432.0,9.0,-3.0
75,L5240,00AH,E09000008,Croydon,123.600000000006,395.600000000006,357.599999999977,389.600000000006,394.600000000006,752.600000000006,1182.60000000001,1255.59999999998,1097.60000000001,849.600000000006,459.7,643.7,1047.7,1275.7,1796.7,2587.7,1828.7,1342.7,1409.7,1781.7,2122.0,2904.0,2087.0
76,A5270,00AJ,E09000009,Ealing,258.699999999997,332.699999999997,505.700000000012,481.699999999997,833.699999999997,1367.7,1419.7,849.700000000012,520.699999999997,285.699999999997,1018.2,1323.2,1102.2,1230.2,1054.2,1178.2,1790.2,2087.2,2141.2,2014.2,1066.0,1760.0,1521.0
77,Q5300,00AK,E09000010,Enfield,1182.89999999999,1142.90000000001,1063.89999999999,717.900000000009,557.899999999994,1053.89999999999,1278.90000000001,676.899999999994,619.900000000009,798.899999999994,356.0,608.0,571.0,458.0,731.0,957,445,559,479.0,850.0,697.0,856.0,810.0
78,E5330,00AL,E09000011,Greenwich,565.899999999994,773.900000000009,1435.89999999999,1624.90000000001,1386.89999999999,737.899999999994,325.900000000009,302.899999999994,90.9000000000087,534.899999999994,1580.6,371.6,1369.6,1405.6,1977.6,2637.6,2158.6,1771.6,3309.6,1248.6,1257.0,1190.0,856.0
79,U5360,00AM,E09000012,Hackney,1348.55650123776,1659.55650123778,1371.55650123778,1150.55650123776,1202.55650123776,1450.55650123778,1910.55650123778,2387.55650123776,1967.55650123776,750.991488860076,1473.34167776299,1116.73981358189,1441.73981358189,1574.73981358189,1142.73981358189,1512.73981358189,1583.73981358189,1838.73981358189,962.739813581891,1285.73981358189,1531.0,862.0,397.0
80,H5390,00AN,E09000013,Hammersmith and Fulham,192.300000000003,321.300000000003,589.299999999988,468.300000000003,648.300000000003,654.300000000003,541.300000000003,484.299999999988,907.300000000003,488.300000000003,584.7,533.7,739.7,1473.7,481.7,1087.7,1644.7,1159.7,1262.7,1534.7,2300.0,1398.0,1477.0
81,Y5420,00AP,E09000014,Haringey,682.684298007778,821.684298007778,571.684298007778,1454.68429800778,1170.68429800778,1487.68429800779,1132.68429800778,1334.68429800778,1135.68429800778,742.841317929982,1447.4,741.4,638.4,297.4,403.4,905.4,1364.4,732.4,1029.4,1596.4,1511.0,898.0,1185.0
82,M5450,00AQ,E09000015,Harrow,229.100000000006,561.099999999991,529.100000000006,651.099999999991,658.100000000006,709.100000000006,463.099999999991,860.100000000006,599.099999999991,530.100000000006,560.9,805.9,385.9,500.9,1000.9,746.9,790.9,1319.9,1290.9,865.9,432.0,657.0,751.0
83,B5480,00AR,E09000016,Havering,402.469338677358,358.469338677358,629.469338677343,544.469338677358,464.469338677358,940.469338677358,419.469338677358,737.469338677343,516.469338677358,378.775951903808,352.4,547.4,466.4,952.4,1322.4,753.4,587.4,776.4,818.4,796.4,624.0,1070.0,587.0
84,R5510,00AS,E09000017,Hillingdon,267.5,438.5,539.5,340.5,594.5,284.5,494.5,881.5,606.5,399.5,1226.6,1704.6,791.6,782.6,946.6,1001.6,1079.6,1194.6,1883.6,955.6,902.0,723.0,759.0
85,F5540,00AT,E09000018,Hounslow,711.199999999997,912.199999999997,1174.20000000001,901.199999999997,858.199999999997,1741.2,1992.2,868.200000000012,924.199999999997,999.199999999997,898.9,550.9,1004.9,715.9,798.9,875.9,1229.9,1582.9,1863.9,1718.9,1737.0,1238.0,1217.0
86,V5570,00AU,E09000019,Islington,1011.3,1728.3,1279.29999999999,679.300000000003,877.300000000003,1830.3,1728.3,2329.29999999999,1593.3,571.300000000003,1399.0,1094.0,1418.0,673.0,1202.0,849,542,1091,932.0,826.0,457.0,441.0,904.0
87,K5600,00AW,E09000020,Kensington and Chelsea,67.6999999999971,146.699999999997,397.700000000012,154.699999999997,77.6999999999971,34.6999999999971,-53.3000000000029,-24.2999999999884,203.699999999997,41.6999999999971,174.5,129.5,668.5,1056.5,456.5,427.5,407.5,187.5,583.5,339.5,187.0,275.0,245.0
88,Z5630,00AX,E09000021,Kingston upon Thames,146.599999999999,247.599999999999,536.600000000006,513.599999999999,330.599999999999,297.599999999999,265.599999999999,159.600000000006,114.599999999999,111.599999999999,239.1,218.1,276.1,541.1,254.1,288.1,232.1,516.1,628.1,494.1,307.0,294.0,1041.0
89,N5660,00AY,E09000022,Lambeth,1065.0,558.0,806.0,1020.0,1368.0,1348.0,1423.0,1311.0,1366.0,1558.0,1068.9,753.9,1472.9,1629.9,1565.9,1353.9,1761.9,1437.9,1735.9,1416.9,362.0,486.0,608.0
90,C5690,00AZ,E09000023,Lewisham,470.5,311.5,1061.5,786.5,1037.5,654.5,1083.5,1206.5,1063.5,1011.5,1378.5,1988.5,903.5,1658.5,1729.5,1794.5,716.5,1818.5,1441.5,371.5,435.0,289.0,408.0
91,T5720,00BA,E09000024,Merton,-186.800000000003,-126.800000000003,-142.799999999988,-61.8000000000029,270.199999999997,-6.80000000000291,149.199999999997,366.200000000012,-78.8000000000029,-51.8000000000029,620.3,523.3,550.3,535.3,618.3,544.3,758.3,383.3,456.3,714.3,920.0,535.0,281.0
92,G5750,00BB,E09000025,Newham,1219.39999999999,881.400000000009,1314.39999999999,572.400000000009,896.399999999994,720.399999999994,920.400000000009,1069.39999999999,1459.40000000001,768.399999999994,1194.3,955.3,2254.3,2335.3,1726.3,2662.3,2131.3,2790.3,3653.3,2098.3,3243.0,1983.0,2999.0
93,W5780,00BC,E09000026,Redbridge,693.199999999997,818.199999999997,695.200000000012,707.199999999997,762.199999999997,1022.2,626.199999999997,624.200000000012,951.199999999997,459.199999999997,696.2,434.2,428.2,427.2,224.2,925.2,632.2,934.2,794.2,645.2,287.0,223.0,337.0
94,L5810,00BD,E09000027,Richmond upon Thames,264.800000000003,280.800000000003,291.799999999988,628.800000000003,941.800000000003,285.800000000003,352.800000000003,395.799999999988,262.800000000003,365.800000000003,156.8,432.8,311.8,188.8,460.8,412.8,329.8,370.8,260.8,179.8,173.0,142.0,147.0
95,A5840,00BE,E09000028,Southwark,421.100000000006,927.099999999991,1678.10000000001,2017.09999999999,1568.10000000001,2311.10000000001,2147.09999999999,1468.10000000001,1755.09999999999,1853.10000000001,1377.0,1570.0,1974.0,1464.0,1705.0,2735,1141,3531,1781.0,1419.0,1450.0,1418.0,1732.0
96,P5870,00BF,E09000029,Sutton,33.3999999999942,121.400000000009,198.399999999994,299.400000000009,144.399999999994,135.399999999994,482.400000000009,328.399999999994,63.4000000000087,188.399999999994,668.0,308.0,381.0,508.0,472.0,734,778,656,654.0,394.0,541.0,477.0,361.0
97,E5900,00BG,E09000030,Tower Hamlets,1960.0,1474.0,1682.0,3039.0,2976.0,3017.0,2637.0,3461.0,3038.0,1870.0,3387.31633522727,1473.18707386364,1172.18707386364,1428.18707386364,2906.18707386364,5339.18707386364,2515.18707386364,2036.18707386364,5076.18707386364,3760.18707386364,4203.0,2584.0,1071.0
98,U5930,00BH,E09000031,Waltham Forest,417.300000000003,290.300000000003,291.299999999988,627.300000000003,762.300000000003,922.300000000003,978.300000000003,966.299999999988,376.300000000003,655.300000000003,724.0,688.0,609.0,891.0,1193.0,1253,932,833,1135.0,1635.0,981.0,1221.0,944.0
99,H5960,00BJ,E09000032,Wandsworth,875.600000000006,1201.59999999999,1316.60000000001,1742.59999999999,1362.60000000001,1702.60000000001,1280.59999999999,1833.59999999999,1825.60000000001,733.600000000006,948.2,923.2,1165.2,1050.2,2704.2,2302.2,2213.2,1879.2,1281.2,1381.2,1905.0,2138.0,2720.0
100,X5990,00BK,E09000033,Westminster,1910.7,1416.7,2219.70000000001,1439.7,1980.7,1562.7,1669.7,1633.70000000001,1597.7,1673.7,1113.8,778.8,716.8,935.8,1094.8,1528.8,1329.8,989.8,1296.8,808.8,965.0,2088.0,930.0
101,,,,Metropolitan Districts,18730.7638440487,21645.7638440486,26503.7638440488,30319.7278551221,33928.7638440487,40172.7638440487,44743.7638440486,32928.7638440488,23655.7638440486,20869.1613924884,17036.5019899664,17805.3886677815,19905.3886677815,25688.3886677815,29202.3886677815,34947.3886677815,36977.3886677815,42317.3886677815,44039.3886677815,35028.3886677815,39607.0,34228.0,39355.0
