,DCLG code,"Former
ONS code",LA code,Authority Data,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,,,,England,146704.418435771,159874.918435771,170968.918435771,185552.734121851,202652.918435771,214935.918435771,223533.918435771,182766.737369594,144869.918435771,137393.599458161,140785.013308541,130611.109632384,142494.109632384,176582.109632384,195534.109632384,223234.109632384,228170.109632384,247766.109632384,248591.109632384,217754.109632384,234462.0,234292.0,221071.0
1,,,,Unitary Authorities,25553.4317859897,27553.4317859898,28081.4317859897,31389.4317859898,34403.4317859897,37389.4317859897,37529.4317859898,30152.4317859897,33758.2498926075,34153.93203271,32968.9685875367,31688.6809699818,32941.6809699818,42328.6809699818,44508.6809699818,49877.6809699818,54852.6809699818,55436.6809699818,55596.8712382445,50275.6712382445,59158.0,61642.0,63353.0
2,F0114,00HA,E06000022,Bath and North East Somerset,270.399999999994,264.400000000009,301.399999999994,151.400000000009,172.399999999994,258.399999999994,497.400000000009,378.399999999994,346.400000000009,241.399999999994,472.0,559.0,557.0,640.0,818.0,880,1254,1049,1176.0,773.0,552.0,490.0,669.0
3,K0235,00KB,E06000055,Bedford,,,,,,,,,507.300000000003,675.300000000003,952.5,687.5,1030.5,861.5,997.5,1288.5,1383.5,1392.5,1059.5,1232.5,1019.0,1465.0,689.0
4,M2372,00EX,E06000008,Blackburn with Darwen,-73.8000000000029,263.200000000004,639.199999999997,-93.7999999999956,594.199999999997,230.199999999997,619.200000000004,82.1999999999971,336.200000000004,372.199999999997,56.1,217.1,246.1,235.1,115.1,159.1,299.1,505.1,323.1,461.1,440.0,553.0,547.0
5,J2373,00EY,E06000009,Blackpool,159.699999999997,54.6999999999971,241.700000000012,240.699999999997,239.699999999997,173.699999999997,356.699999999997,310.700000000012,-1.30000000000291,180.699999999997,476.0,329.0,144.0,294.0,447.0,51,473,565,532.0,358.0,267.0,233.0,175.0
6,G1250,00HN,E06000028,Bournemouth,764.300000000003,920.300000000003,1103.29999999999,1036.3,900.300000000003,1029.3,1474.3,1173.29999999999,562.300000000003,432.300000000003,553.48766620004,637.48766620004,392.48766620004,962.48766620004,721.48766620004,579.48766620004,633.48766620004,657.48766620004,,,,,
7,A0014,A0014,E06000058,"Bournemouth, Christchurch and Poole",,,,,,,,,,,,,,,,,,,1699.9,786.9,696.0,773.0,912.0
8,R0335,00MA,E06000036,Bracknell Forest,306.599999999999,240.599999999999,255.600000000006,160.599999999999,185.599999999999,49.5999999999985,419.599999999999,385.600000000006,243.599999999999,326.599999999999,223.1,353.1,272.1,334.1,294.1,395.1,374.1,713.1,1646.1,954.1,691.0,450.0,924.0
9,Q1445,00ML,E06000043,Brighton and Hove,688.0,1060.0,723.0,641.0,578.0,836.0,606.0,760.0,419.0,322.0,460.7,525.7,587.7,732.7,838.7,504.7,595.7,531.7,709.7,933.7,1260.0,860.0,1230.0
10,Z0116,00HB,E06000023,"Bristol, City of",1393.10000000001,1494.10000000001,2588.09999999998,2342.10000000001,2017.10000000001,2357.10000000001,2716.10000000001,2879.09999999998,2470.10000000001,1801.10000000001,1668.8,800.8,1209.8,1376.8,1461.8,1916.8,1562.8,1560.8,1248.8,1569.8,2451.0,1562.0,1367.0
11,A0016,A0016,E06000060,Buckinghamshire,,,,,,,,,,,,,,,,,,,,2030.8,2617.0,3751.0,2353.0
12,P0240,00KC,E06000056,Central Bedfordshire,,,,,,,,,755.200000000004,1282.2,1214.2,881.2,1179.2,1437.2,1541.2,1688.2,2018.2,2017.2,2537.2,2050.2,2424.0,2314.0,2129.0
13,R0660,00EQ,E06000049,Cheshire East,,,,,,,,,990.800000000018,836.799999999988,666.5,668.5,844.5,1258.5,1592.5,1782.5,2317.5,2954.5,3150.5,2294.5,2631.0,2323.0,2117.0
14,A0665,00EW,E06000050,Cheshire West and Chester,,,,,,,,,817.500000000007,751.5,712.9,582.9,879.9,1480.9,1678.9,1929.9,2455.9,2063.9,1758.9,1244.9,1519.0,1355.0,1370.0
15,D0840,00HE,E06000052,Cornwall,,,,,,,,,2939.0,2392.0,2310.9,2213.9,1964.9,2637.9,2532.9,3009.9,3362.9,3044.9,2972.9,2599.9,2728.0,2714.0,2507.0
16,X1355,00EJ,E06000047,County Durham,,,,,,,,,1284.7661305147,1492.7661305147,1439.4,1305.4,951.4,1234.4,1695.4,1565.4,1506.4,1630.4,1795.4,1495.4,1670.0,1561.0,1295.0
17,E0901,E0901,E06000063,Cumberland,,,,,,,,,,,,,,,,,,,,,,,936.0
18,N1350,00EH,E06000005,Darlington,380.400000000001,299.400000000001,459.399999999994,625.400000000002,563.400000000002,518.400000000002,617.400000000002,319.399999999994,281.400000000001,269.400000000001,178.1,133.1,244.1,470.1,276.1,137.1,513.1,511.1,506.1,515.1,510.0,511.0,357.0
19,C1055,00FK,E06000015,Derby,711.899999999994,597.900000000009,605.899999999994,906.900000000009,1009.89999999999,1177.89999999999,1230.90000000001,602.899999999994,496.900000000009,673.899999999994,277.0,389.0,463.0,444.0,500.0,805,803,625,556.0,555.0,681.0,649.0,1345.0
