AREA_CODE,AREA_NAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
E07000223,Adur,0.60,0.61,0.62,0.60,0.59,0.65,0.62,0.60,0.58,0.54,0.54
E07000032,Amber Valley,0.76,0.78,0.73,0.72,0.72,0.72,0.73,0.73,0.74,0.69,0.72
E07000224,Arun,0.66,0.67,0.62,0.65,0.63,0.63,0.62,0.61,0.59,0.56,0.56
E07000170,Ashfield,0.65,0.65,0.62,0.61,0.63,0.67,0.63,0.64,0.67,0.67,0.66
E07000105,Ashford,0.74,0.85,0.85,0.85,0.85,0.83,0.81,0.82,0.82,0.80,0.80
E07000200,Babergh,0.64,0.71,0.73,0.72,0.71,0.70,0.76,0.75,0.70,0.65,0.66
E09000002,Barking and Dagenham,0.56,0.52,0.50,0.53,0.51,0.51,0.49,0.49,0.48,0.42,0.44
E09000003,Barnet,0.67,0.65,0.64,0.65,0.63,0.63,0.63,0.62,0.63,0.63,0.61
E08000016,Barnsley,0.60,0.57,0.60,0.61,0.61,0.60,0.56,0.56,0.55,0.56,0.54
E07000066,Basildon,0.76,0.70,0.75,0.76,0.78,0.81,0.79,0.77,0.79,0.77,0.74
E07000084,Basingstoke and Deane,0.87,0.83,0.88,0.85,0.84,0.88,0.81,0.85,0.85,0.82,0.83
E07000171,Bassetlaw,0.75,0.71,0.74,0.67,0.65,0.68,0.68,0.71,0.70,0.69,0.66
E06000022,Bath and North East Somerset,0.81,0.80,0.86,0.89,0.95,0.84,0.84,0.84,0.81,0.85,0.86
E06000055,Bedford,0.78,0.75,0.75,0.81,0.81,0.87,0.79,0.81,0.79,0.78,0.77
E09000004,Bexley,0.55,0.54,0.57,0.55,0.61,0.57,0.52,0.52,0.51,0.50,0.53
E08000025,Birmingham,0.86,0.86,0.86,0.86,0.85,0.84,0.83,0.81,0.79,0.73,0.74
E07000129,Blaby,0.57,0.67,0.72,0.71,0.76,0.85,0.85,0.90,0.90,0.89,0.82
E06000008,Blackburn with Darwen,0.80,0.80,0.80,0.78,0.82,0.77,0.75,0.79,0.78,0.73,0.70
E06000009,Blackpool,0.80,0.82,0.80,0.71,0.76,0.70,0.76,0.73,0.72,0.75,0.71
E07000033,Bolsover,0.47,0.49,0.45,0.51,0.49,0.54,0.56,0.54,0.59,0.58,0.59
E08000001,Bolton,0.74,0.72,0.70,0.73,0.71,0.74,0.68,0.68,0.69,0.66,0.63
E07000136,Boston,0.91,0.75,0.75,0.80,0.77,0.84,0.80,0.85,0.77,0.75,0.82
E06000028,Bournemouth,0.82,0.84,0.84,0.85,0.82,0.87,0.81,0.79,0.77,0.72,0.69
E06000036,Bracknell Forest,0.97,1.01,0.98,1.00,0.98,0.94,0.98,1.01,0.95,0.85,0.90
E08000032,Bradford,0.75,0.74,0.74,0.74,0.72,0.71,0.69,0.69,0.68,0.68,0.66
E07000067,Braintree,0.63,0.64,0.71,0.69,0.67,0.67,0.65,0.69,0.63,0.64,0.58
E07000143,Breckland,0.62,0.67,0.65,0.65,0.69,0.71,0.68,0.65,0.64,0.61,0.59
E09000005,Brent,0.67,0.62,0.62,0.65,0.65,0.64,0.58,0.57,0.54,0.53,0.54
E07000068,Brentwood,0.75,0.78,0.83,0.88,0.85,0.80,0.81,0.79,0.81,0.92,0.77
E06000043,Brighton and Hove,0.84,0.83,0.81,0.82,0.84,0.86,0.79,0.80,0.77,0.73,0.73
E06000023,Bristol,1.04,1.03,1.06,0.99,0.96,0.94,0.92,0.92,0.92,0.93,0.91
E07000144,Broadland,0.56,0.64,0.60,0.66,0.66,0.65,0.62,0.66,0.64,0.71,0.65
E09000006,Bromley,0.62,0.61,0.63,0.67,0.67,0.66,0.66,0.71,0.67,0.61,0.61
E07000234,Bromsgrove,0.75,0.74,0.59,0.64,0.67,0.65,0.71,0.72,0.69,0.68,0.65
E07000095,Broxbourne,0.64,0.63,0.69,0.75,0.72,0.67,0.68,0.67,0.69,0.71,0.72
E07000172,Broxtowe,0.63,0.52,0.55,0.51,0.54,0.56,0.54,0.60,0.58,0.60,0.62
E07000117,Burnley,0.73,0.72,0.74,0.72,0.74,0.70,0.69,0.69,0.68,0.72,0.67
E08000002,Bury,0.59,0.58,0.58,0.63,0.63,0.59,0.61,0.62,0.60,0.59,0.61
E08000033,Calderdale,0.76,0.77,0.76,0.76,0.79,0.75,0.75,0.73,0.74,0.74,0.77
E07000008,Cambridge,1.18,1.20,1.22,1.19,1.07,1.04,1.12,1.14,1.17,1.15,1.07
E09000007,Camden,2.05,1.98,1.92,1.86,1.82,1.88,1.80,1.90,2.00,1.99,1.97
E07000192,Cannock Chase,0.59,0.60,0.60,0.65,0.64,0.60,0.60,0.63,0.66,0.68,0.60
E07000106,Canterbury,0.72,0.77,0.77,0.77,0.74,0.76,0.74,0.76,0.80,0.75,0.76
E07000069,Castle Point,0.43,0.42,0.43,0.42,0.43,0.45,0.45,0.51,0.45,0.47,0.48
E07000130,Charnwood,0.66,0.61,0.62,0.67,0.67,0.64,0.66,0.68,0.68,0.64,0.64
E07000070,Chelmsford,0.75,0.77,0.89,0.86,0.84,0.84,0.84,0.83,0.82,0.83,0.86
E07000078,Cheltenham,0.94,0.98,1.04,1.01,1.00,0.88,0.82,0.82,0.84,0.84,0.94
E07000177,Cherwell,0.92,0.87,0.88,0.85,0.91,0.88,0.87,0.86,0.84,0.82,0.82
E06000049,Cheshire East,0.80,0.84,0.81,0.82,0.81,0.82,0.85,0.84,0.82,0.82,0.81
E06000050,Cheshire West and Chester,0.78,0.81,0.81,0.81,0.81,0.80,0.79,0.80,0.79,0.78,0.79
E07000034,Chesterfield,0.87,0.89,0.85,0.89,0.86,0.84,0.86,0.82,0.78,0.75,0.78
E07000225,Chichester,1.03,1.03,1.08,1.00,0.94,0.98,0.98,0.95,0.91,1.00,1.06
E07000118,Chorley,0.66,0.62,0.66,0.66,0.69,0.66,0.69,0.70,0.64,0.65,0.65
E07000071,Colchester,0.81,0.80,0.82,0.81,0.78,0.81,0.78,0.79,0.80,0.77,0.78
E07000079,Cotswold,0.74,0.83,0.84,0.88,0.91,0.86,0.85,0.87,0.84,0.88,0.86
E06000047,County Durham,0.56,0.59,0.57,0.57,0.56,0.57,0.59,0.58,0.59,0.55,0.53
E08000026,Coventry,0.82,0.82,0.83,0.81,0.81,0.82,0.80,0.79,0.77,0.76,0.76
E07000226,Crawley,1.23,1.28,1.37,1.39,1.36,1.32,1.28,1.24,1.21,1.24,1.29
E09000008,Croydon,0.73,0.71,0.68,0.69,0.69,0.67,0.66,0.67,0.63,0.57,0.58
E07000096,Dacorum,0.87,0.86,0.86,0.85,0.81,0.83,0.78,0.78,0.80,0.73,0.70
E06000005,Darlington,0.81,0.85,0.84,0.88,0.82,0.85,0.83,0.85,0.83,0.79,0.87
E07000107,Dartford,0.86,0.90,0.95,1.00,0.90,0.95,0.88,0.95,0.96,0.88,0.91
E06000015,Derby,0.83,0.89,0.86,0.84,0.87,0.88,0.84,0.90,0.84,0.82,0.80
E07000035,Derbyshire Dales,0.87,0.86,0.93,0.88,0.86,0.94,0.87,0.90,0.94,0.96,0.93
E08000017,Doncaster,0.64,0.64,0.65,0.66,0.68,0.69,0.69,0.68,0.67,0.64,0.65
E07000108,Dover,0.67,0.69,0.74,0.75,0.69,0.69,0.67,0.68,0.68,0.61,0.57
E08000027,Dudley,0.71,0.71,0.72,0.72,0.71,0.73,0.69,0.70,0.68,0.67,0.65
E09000009,Ealing,0.64,0.63,0.62,0.64,0.63,0.63,0.62,0.63,0.58,0.56,0.55
E07000040,East Devon,0.68,0.78,0.80,0.70,0.73,0.73,0.85,0.80,0.72,0.73,0.75
E07000085,East Hampshire,0.77,0.82,0.77,0.76,0.76,0.87,0.81,0.77,0.78,0.76,0.82
E07000242,East Hertfordshire,0.79,0.77,0.85,0.82,0.76,0.79,0.83,0.78,0.77,0.75,0.70
E07000137,East Lindsey,0.60,0.64,0.65,0.67,0.66,0.65,0.71,0.73,0.67,0.68,0.69
E06000011,East Riding of Yorkshire,0.54,0.61,0.63,0.67,0.64,0.63,0.62,0.64,0.63,0.66,0.66
E07000193,East Staffordshire,0.84,0.87,0.93,0.95,0.96,0.97,0.89,0.85,0.86,0.85,0.87
E07000061,Eastbourne,0.81,0.81,0.81,0.82,0.80,0.81,0.76,0.76,0.80,0.78,0.77
E07000086,Eastleigh,0.87,0.79,0.80,0.81,0.86,0.95,0.84,0.84,0.83,0.83,0.81
E07000207,Elmbridge,0.93,0.82,0.83,0.78,0.74,0.77,0.75,0.76,0.78,0.75,0.76
E09000010,Enfield,0.63,0.61,0.57,0.60,0.59,0.62,0.56,0.57,0.57,0.54,0.56
E07000072,Epping Forest,0.61,0.61,0.62,0.70,0.69,0.74,0.67,0.65,0.66,0.67,0.65
E07000208,Epsom and Ewell,1.00,0.88,0.74,0.71,0.67,0.77,0.67,0.67,0.70,0.72,0.72
E07000036,Erewash,0.57,0.61,0.65,0.62,0.61,0.65,0.68,0.63,0.62,0.59,0.57
E07000041,Exeter,1.06,1.10,1.06,1.14,1.25,1.18,1.22,1.19,1.16,1.25,1.27
E07000087,Fareham,0.79,0.76,0.77,0.76,0.78,0.79,0.79,0.82,0.88,0.76,0.81
E07000010,Fenland,0.67,0.64,0.63,0.66,0.65,0.66,0.71,0.67,0.62,0.64,0.57
E07000112,Folkestone and Hythe,0.64,0.72,0.74,0.68,0.65,0.68,0.63,0.68,0.70,0.65,0.67
E07000080,Forest of Dean,0.59,0.69,0.68,0.61,0.57,0.56,0.60,0.60,0.59,0.61,0.56
E07000119,Fylde,0.96,1.04,0.90,1.04,1.01,0.96,1.02,1.02,1.04,1.04,1.00
E08000037,Gateshead,0.75,0.75,0.79,0.84,0.84,0.83,0.79,0.79,0.79,0.77,0.75
E07000173,Gedling,0.52,0.51,0.52,0.49,0.45,0.49,0.50,0.51,0.51,0.51,0.44
E07000081,Gloucester,0.93,0.93,0.90,1.01,0.98,0.95,0.95,0.92,0.87,0.93,0.91
E07000088,Gosport,0.68,0.55,0.55,0.50,0.49,0.53,0.49,0.51,0.50,0.45,0.49
E07000109,Gravesham,0.52,0.53,0.54,0.53,0.54,0.57,0.49,0.51,0.51,0.51,0.51
E07000145,Great Yarmouth,0.72,0.71,0.69,0.74,0.69,0.69,0.73,0.70,0.68,0.72,0.77
E09000011,Greenwich,0.60,0.50,0.50,0.51,0.50,0.52,0.51,0.51,0.50,0.49,0.49
E07000209,Guildford,0.99,0.92,0.93,1.00,0.93,0.98,1.06,1.04,0.99,0.95,0.96
E09000012,Hackney,0.75,0.77,0.75,0.68,0.65,0.63,0.57,0.60,0.59,0.60,0.58
E06000006,Halton,0.73,0.73,0.71,0.72,0.74,0.77,0.73,0.73,0.72,0.67,0.69
E09000013,Hammersmith and Fulham,1.00,0.98,0.94,0.99,1.01,1.05,1.02,1.02,1.02,0.98,1.03
E07000131,Harborough,0.76,0.74,0.74,0.74,0.79,0.80,0.85,0.83,0.79,0.78,0.72
