Region code,Region name,LA code,LA name,1997 Ratio,1998 Ratio,1999 Ratio,2000 Ratio,2001 Ratio,2002 Ratio,2003 Ratio,2004 Ratio,2005 Ratio,2006 Ratio,2007 Ratio,2008 Ratio,2009 Ratio,2010 Ratio,2011 Ratio,2012 Ratio,2013 Ratio,2014 Ratio,2015 Ratio,2016 Ratio,2017 Ratio,2018 Ratio,2019 Ratio,2020 Ratio,2021 Ratio,2022 Ratio,2023 Ratio,2024 Ratio,5 Year Average
K04000001,England and Wales,NA,NA,3.55,3.66,3.89,4.13,4.42,5.06,5.85,6.53,6.74,6.96,7.17,6.9,6.35,6.85,6.74,6.76,6.74,6.95,7.37,7.59,7.77,7.85,7.73,7.81,8.95,8.45,8.28,7.54,8.21
E12000001,North East,E06000001,Hartlepool,2.64,2.74,2.85,3.02,2.75,2.9,3.2,3.19,2.88,4.2,5.02,5.23,4.7,4.73,4.48,4.14,4.26,4.65,4.7,4.6,4.8,4.82,5,4.63,4.94,4.65,4.7,4.25,4.63
E12000001,North East,E06000002,Middlesbrough,2.83,2.74,2.89,2.73,2.58,2.47,2.56,3.49,4.17,4.9,5.27,4.69,4.87,5.02,4.67,4.26,4.48,5.01,5.01,5.09,4.88,5.28,5.15,5,5.4,4.95,4.74,4.69,4.96
E12000001,North East,E06000003,Redcar and Cleveland,2.34,2.45,2.12,2.21,2.39,2.69,3.4,3.64,3.99,5.02,5.09,4.74,4.52,4.97,4.41,4.86,4.62,4.65,4.67,5.31,5.11,5.12,5.03,5.15,5.84,5.67,5.17,5.22,5.41
E12000001,North East,E06000004,Stockton-on-Tees,2.97,2.93,3.05,3.06,3.07,3.53,4.29,4.84,5.38,5.72,5.84,5.79,5.19,5.53,5.25,5.34,5.28,5.3,5.33,5.02,5.64,5.5,5.06,5.01,5.53,5.22,5.67,5.26,5.34
E12000001,North East,E06000005,Darlington,3.04,3.46,3.14,3.24,3.19,3.18,3.94,5.2,6.03,5.72,5.35,5.45,5.3,5.62,5.14,5.05,5.64,4.9,4.93,4.92,5.37,5.34,5.04,5.35,5.5,5.27,5.43,4.54,5.22
E12000001,North East,E06000047,County Durham,,,,,,,3.38,4.4,4.85,5.61,5.43,5.47,4.93,5.12,4.64,4.54,4.47,4.64,4.57,4.59,4.54,4.53,4.59,4.51,5.15,4.69,4.42,4.14,4.58
E12000001,North East,E06000057,Northumberland,,,,,,,4.72,5.96,6.45,6.51,6.75,6.93,6.05,6.3,6.36,5.87,6.04,6.53,6.5,6.26,6.42,6.59,6.56,6.29,7.04,6.16,6.62,6.15,6.45
E12000001,North East,E08000021,Newcastle upon Tyne,3.08,3.29,3.31,3.01,3.3,3.95,5.03,6.19,5.75,6.51,6.61,6.43,5.43,5.62,5.36,5.23,5.43,5.44,5.55,5.78,5.47,5.75,5.71,5.55,6.07,5.97,6.03,5.38,5.8
E12000001,North East,E08000022,North Tyneside,3.4,3.37,3.5,3.3,3.24,3.31,4.41,5.46,5.88,6.22,6.67,5.93,5.46,5.69,5.43,5.44,5.48,5.75,6.06,6.12,6.3,6.12,6.03,6.26,6.78,6.15,6.27,5.42,6.18
E12000001,North East,E08000023,South Tyneside,2.98,2.72,2.74,2.77,2.63,2.77,3.58,4.57,5.27,5.31,5.81,5.4,5.14,5.97,4.56,4.71,4.81,4.89,5.29,5.89,5.73,5.8,5.56,5.04,6.05,5.3,5.48,4.62,5.3
E12000001,North East,E08000024,Sunderland,2.94,2.83,2.87,2.89,2.75,3.13,3.71,4.66,4.9,5.08,5.21,4.98,4.65,4.72,4.62,4.63,4.54,4.59,4.75,4.62,4.78,4.87,4.79,4.55,5.43,5.15,4.95,4.25,4.87
E12000001,North East,E08000037,Gateshead,,,,,,,4.2,4.83,4.72,5.66,5.75,5.73,5.56,5.22,4.76,4.5,4.88,4.88,5.07,5.19,5.25,5.32,5.35,5.51,5.92,5.09,5.07,4.84,5.29
E12000002,North West,E06000006,Halton,2.83,2.71,2.74,2.8,3.02,2.91,3.71,4.44,4.87,4.59,5.1,4.66,4.63,4.68,4.7,4.57,4.75,4.66,4.55,4.92,4.76,4.79,4.93,4.94,5.58,4.88,4.68,4.76,4.97
E12000002,North West,E06000007,Warrington,3.33,3.45,3.61,3.6,3.75,4.5,4.93,6.43,6.37,6.69,5.83,5.46,5.19,5.66,5.53,5.38,5.77,5.71,5.99,6.14,6.35,6.31,6.75,6.54,7.34,7.43,7.44,6.11,6.97
E12000002,North West,E06000008,Blackburn with Darwen,2.32,2.28,2.45,2.48,2.23,2.39,2.66,3.18,3.66,4.08,4.78,4.49,4.26,4.25,4.03,4.1,3.94,4.07,4.39,4.16,4.25,4.96,4.77,4.93,5.26,4.95,4.99,4.06,4.84
E12000002,North West,E06000009,Blackpool,3,3.13,2.97,3.03,3.07,3.26,3.68,4.77,5.3,5.88,6.21,6.28,5.15,5.63,5.04,4.62,4.73,4.82,4.66,5.05,4.65,4.53,4.45,4.77,4.4,4.84,4.44,3.92,4.47
E12000002,North West,E06000049,Cheshire East,,,,,,,6.03,6.68,6.8,7.04,6.99,7.05,6.75,7.4,6.8,6.84,6.82,7.14,7.4,7.44,7.65,8.05,8.06,8,9.06,8.67,8.24,7.95,8.38
E12000002,North West,E06000050,Cheshire West and Chester,,,,,,,4.97,5.92,6.28,6.48,6.8,6.65,6.05,6.49,6.5,6.24,6.84,6.92,7.14,7.11,7.19,6.99,6.9,7.41,7.56,7.55,7.58,6.65,7.35
E12000002,North West,E06000063,Cumberland,,,,,,,3.23,3.92,4.36,5.12,5.09,5.01,4.76,4.79,4.83,4.92,4.48,4.64,4.86,4.73,4.83,4.79,4.92,4.47,4.96,4.86,4.6,4.42,4.66
E12000002,North West,E06000064,Westmorland and Furness,,,,,,,5.21,6.21,6.86,6.9,7.35,7.23,6.93,7.26,6.94,6.5,6.04,6.34,6.83,7.09,7.07,6.78,6.79,6.58,7.39,7.49,7.39,5.95,6.96
E12000002,North West,E07000117,Burnley,2.04,2.29,2.19,2.06,2,1.66,1.67,2.03,2.42,3.05,3.62,3.76,3.74,3.76,3.59,3.41,3.31,3.82,3.68,3.92,3.88,4,3.92,4.24,5.12,4.84,4.12,3.86,4.44
E12000002,North West,E07000118,Chorley,3.46,3.56,3.47,3.72,3.74,4.25,4.88,6.29,7.04,6.58,5.91,6.06,5.84,6.24,6.46,6.21,6.44,6.3,6.65,6.87,6.91,6.61,6.83,6.56,7.2,6.42,6.87,6.1,6.63
E12000002,North West,E07000119,Fylde,2.95,2.93,3.14,3.04,3.18,3.66,4.75,5.72,6.11,6.35,6.43,5.8,5.25,5.75,5.42,6.69,6.98,5.44,5.32,5.81,5.87,5.4,5.48,6.13,6.85,7.04,5.97,5.56,6.31
E12000002,North West,E07000120,Hyndburn,2.35,2.1,2.55,2.55,2.65,2.25,2.45,3.42,3.71,4.36,4.97,4.61,4.04,3.93,4.05,4.38,3.92,3.92,4.05,4.14,4.16,4.23,3.77,3.68,4.64,4.23,4.24,4.29,4.22
E12000002,North West,E07000121,Lancaster,2.75,2.82,2.89,2.82,2.84,2.96,3.82,4.73,5.4,5.62,5.61,5.87,5.19,5.57,4.97,5.17,5.03,5.42,5.35,5.14,5.41,5.73,5.67,5.45,6.4,5.96,6.17,5.84,5.96
E12000002,North West,E07000122,Pendle,2.1,2.19,2.14,2.24,2,2.15,2.35,3.16,3.17,3.96,4.64,4.35,4.27,4.2,3.8,3.67,3.75,3.87,3.83,3.87,4.04,3.66,4.41,5.03,5.54,5.05,4.46,4.71,4.96
E12000002,North West,E07000123,Preston,3.05,2.86,2.8,2.69,2.93,3.45,3.81,4.71,5.58,5.7,5.95,5.37,4.87,4.71,5.08,5.38,5.04,5.33,5.08,4.9,5.39,5.21,5.31,5.7,6.15,5.92,6.44,5.18,5.88
E12000002,North West,E07000124,Ribble Valley,3.6,3.66,3.93,4.44,4.1,4.24,6.38,8.63,7.3,8.21,7.69,7.92,7.09,7.69,6.97,7.03,7.36,6.83,6.57,7.59,6.76,7.11,7.06,6.22,6.58,7.15,6.27,6.23,6.49
E12000002,North West,E07000125,Rossendale,2.68,3.23,3.2,3.05,3.22,3.27,4,5.35,5.86,6.31,6.65,6.66,5.64,6.13,5.74,4.95,5.37,5.94,5.78,6.27,6.43,5.85,5.63,5.78,7.26,6.36,6.15,5.8,6.27
E12000002,North West,E07000126,South Ribble,3.01,3.09,3.2,3.15,3.39,3.55,4.45,6.13,6.21,6.14,6.04,5.87,6.41,6.55,6.05,5.89,5.96,6.54,6.31,6.28,6.12,6.58,5.81,5.61,6.3,6.27,6.38,5.39,5.99
E12000002,North West,E07000127,West Lancashire,3.28,3.55,3.88,3.76,4.12,4.53,5.55,6.34,6.32,7.03,7.15,7.27,6.85,6.93,6.49,6.78,6.96,7.16,6.47,6.47,6.51,6.54,6.7,6.41,8.01,6.54,6.53,6.71,6.84
E12000002,North West,E07000128,Wyre,3.69,3.83,3.72,4.21,4.03,4.71,5.27,6.54,7.2,7.52,7.87,6.22,6.53,7.69,7.02,6.39,6.48,6.46,6.09,6.31,6.69,6.54,6.09,6.43,7.48,6.85,6.9,6.09,6.75
E12000002,North West,E08000001,Bolton,2.86,2.91,2.83,2.9,2.9,3.23,3.5,4.34,5.14,5.62,5.72,5.68,5.1,5.06,4.76,4.84,4.76,5.12,5.11,5.07,5.26,5.33,5.34,5.63,6.13,6.37,6.11,6.2,6.09
E12000002,North West,E08000002,Bury,2.98,2.92,3.04,3.12,3.28,3.49,4.22,5.18,6.23,6.16,5.97,5.56,5.12,5.41,5.06,5.18,5.15,5.44,5.78,5.9,6.57,6.23,6.81,6.76,7.8,7.91,7.52,6.51,7.3
E12000002,North West,E08000003,Manchester,2.3,2.49,2.45,2.58,2.73,3.29,3.54,4.19,4.68,5.33,5.31,5.13,4.54,4.67,4.86,4.61,4.48,4.77,5.1,5.18,5.36,5.67,5.84,6.2,7.16,7.01,6.47,6.46,6.66
E12000002,North West,E08000004,Oldham,2.79,2.87,2.85,2.68,2.71,2.91,3.44,3.95,4.68,5.17,6.01,5.75,5.04,4.97,4.77,5.11,5.29,5.24,5.18,5.31,5.59,5.11,5.36,5.1,6.28,6.33,6.08,5.69,5.9
E12000002,North West,E08000005,Rochdale,2.61,2.67,2.83,2.75,2.79,3.05,3.47,4.18,4.8,5.09,5.67,5.5,4.74,5.3,4.87,5.04,5.08,5.56,5.54,5.46,5.63,5.53,5.58,5.66,6.42,6.35,5.96,6,6.08
E12000002,North West,E08000006,Salford,2.5,2.54,2.57,2.61,2.56,2.59,3.43,4.22,4.96,5.03,5.54,5.46,4.92,4.81,4.33,4.3,4.33,4.47,4.6,5.09,5.64,5.82,5.7,5.71,7.08,6.98,6.49,5.89,6.43
