,,Mid-2010 to Mid-2011,,,,,Mid-2011 to Mid-2012,,,,,Mid-2012 to Mid-2013,,,,,Mid-2013 to Mid-2014,,,,,Mid-2014 to Mid-2015,,,,,Mid-2015 to Mid-2016,,,,,Mid-2016 to Mid-2017,,,,,Mid-2017 to Mid-2018,,,,,Mid-2018 to Mid-2019,,,,,Mid-2019 to Mid-2020,,,,
,,Mid-2011 Population Estimate,Long-Term International Migration,,"Internal Migration
 (within UK)",,Mid-2012 Population Estimate,Long-Term International Migration,,"Internal Migration
 (within UK)",,Mid-2013 Population Estimate,Long-Term International Migration,,"Internal Migration
 (within UK)",,Mid-2014 Population Estimate,Long-Term International Migration,,"Internal Migration
 (within UK)",,Mid-2015 Population Estimate,Long-Term International Migration,,"Internal Migration
 (within UK)",,Mid-2016 Population Estimate,Long-Term International Migration,,"Internal Migration
 (within UK)",,Mid-2017 Population Estimate,Long-Term International Migration,,"Internal Migration
 (within UK)",,Mid-2018 Population Estimate,Long-Term International Migration,,"Internal Migration
 (within UK)",,Mid-2019 Population Estimate,Long-Term International Migration,,"Internal Migration
 (within UK)",,Mid-2020 Population Estimate,Long-Term International Migration,,"Internal Migration
 (within UK)",
Area Code,Area Name,,Inflow,Outflow,Inflow,Outflow,,Inflow,Outflow,Inflow,Outflow,,Inflow,Outflow,Inflow,Outflow,,Inflow,Outflow,Inflow,Outflow,,Inflow,Outflow,Inflow,Outflow,,Inflow,Outflow,Inflow,Outflow,,Inflow,Outflow,Inflow,Outflow,,Inflow,Outflow,Inflow,Outflow,,Inflow,Outflow,Inflow,Outflow,,Inflow,Outflow,Inflow,Outflow
E92000001,England,53107169,536020,301012,98198,102795,53493729,455219,300881,100441,106185,53865817,449062,274226,98692,104433,54316618,520941,277380,100164,109231,54786327,568685,261367,98455,106891,55268067,579326,277709,95356,107541,55619430,512075,301505,99676,118100,55977178,562457,308960,100459,119485,56286961,537699,338890,102419,122237,56550138,553116,322002,90650,110943
N92000002,Northern Ireland,1814318,13401,14097,10323,11121,1823634,12922,12480,10333,12090,1829725,12736,13623,10364,11815,1840498,13300,11063,11081,11747,1851621,13093,10298,10473,11236,1862137,12998,11540,10806,10806,1870834,11310,10727,10759,10167,1881641,13100,9182,10450,10235,1893667,14191,10478,11447,10333,1895510,11181,12932,10044,11570
S92000003,Scotland,5299900,44200,16900,43686,40777,5313600,35900,26200,45116,42078,5327700,28200,26100,47685,39823,5347600,33200,25200,49242,39657,5373000,37800,18200,47154,38786,5404700,40400,17500,46305,37512,5424800,32900,19500,47568,37113,5438100,32900,22000,47700,37700,5463300,39910,19730,47500,37400,5466000,39200,31300,41800,32800
W92000004,Wales,3063758,13241,11232,57122,54590,3074067,13713,12579,59233,54753,3082412,13725,6414,55014,55679,3092036,15180,9283,57484,57319,3099086,16699,10777,57518,56678,3113150,16826,7150,58654,55275,3125165,15230,10140,67690,60304,3138631,17470,10792,69115,60282,3152879,17518,9706,70963,62278,3169586,18644,8698,65897,53029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,2596441,16493,8473,42285,45009,2602387,12251,8916,41919,44423,2610563,13082,6524,41470,42900,2618736,14430,10108,44037,43777,2624579,15132,8821,43405,43555,2636589,15292,6001,43090,42072,2644727,13837,8678,51593,48659,2657909,15874,4601,52852,49440,2669941,16636,6900,54949,51798,2680763,17881,5469,51587,46959
E12000002,North West,7055961,48677,30939,109088,116160,7084470,40655,26578,110583,118784,7103488,40349,30631,106617,115123,7133026,46003,32388,113907,118325,7175178,51633,28038,116779,113139,7223961,55689,30039,117264,111647,7258627,47712,36148,136226,125542,7292093,53391,36854,137812,129164,7341196,51512,23713,143606,133554,7367456,52198,32792,129836,120946
E12000003,Yorkshire and The Humber,5288212,38664,16106,101809,107485,5316897,32096,21060,106016,108225,5337940,32282,19634,100091,106900,5360117,36407,24706,105663,110331,5390211,39571,19051,104994,107256,5425370,40702,21196,105286,104157,5450130,36667,22132,122905,123569,5479615,39846,19821,126337,124166,5502967,38879,24919,130705,129224,5526350,40788,18139,118089,118116
E12000004,East Midlands,4537448,32042,18069,112265,108376,4567798,27744,18496,118269,111970,4598548,30240,17588,114982,109354,4637369,33159,13841,120509,114357,4677425,37107,14814,120895,111450,4725390,38712,14965,122500,109739,4771666,33431,14119,150974,131161,4804149,38035,27166,150938,133916,4835928,35209,20521,153627,141563,4865583,35539,13703,140942,132181
E12000005,West Midlands,5608667,45305,24519,102066,109248,5642763,36192,20422,104977,111238,5675030,36422,22421,104244,107245,5713439,42317,22645,109152,112103,5755032,50357,22140,108992,111040,5810773,54885,19608,110942,109246,5860706,45319,17095,135324,129636,5900757,50823,24906,135723,133000,5934037,49997,27502,137783,139653,5961929,50814,22367,124128,127420
E12000006,East,5862418,43198,25260,145352,130732,5905914,36974,29012,151679,136657,5951934,35754,23234,149489,131952,6017250,41234,19422,158743,139250,6075970,46207,18594,157996,143359,6129005,47634,26002,156946,141857,6168432,41488,26481,176465,167656,6201214,45878,33485,179464,169183,6236072,42556,31704,185894,172940,6269161,42324,27289,170971,153578
E12000007,London,8204407,205343,102326,201620,241972,8308833,176340,107159,203482,255141,8417458,170054,90237,196571,251599,8539398,200902,93495,204443,273077,8666930,212837,86447,205531,283066,8769659,208593,94368,198327,291629,8825001,190401,106913,229405,336013,8908081,201872,89079,237275,340505,8961989,192920,115511,255299,349291,9002488,200389,115844,218902,320283
E12000008,South East,8652784,71385,53739,229093,208410,8724928,62546,49177,240745,216412,8793154,60068,43989,232608,207754,8874005,71392,37464,242323,222328,8949392,77609,40764,240286,224014,9030347,79278,38103,238756,225097,9080825,69230,43573,268850,261949,9133625,78513,50302,274281,263614,9180135,73944,52855,282745,272595,9217265,76086,61701,257708,240025
E12000009,South West,5300831,34913,21581,136772,117556,5339739,30421,20061,139717,120281,5377702,30811,19968,136831,115817,5423278,35097,23311,145956,120252,5471610,38232,22698,147056,117491,5516973,38541,27427,146834,116686,5559316,33990,26366,169758,135739,5599735,38225,22746,169578,140298,5624696,36046,35265,171520,145328,5659143,37097,24698,158484,131432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000003,Cambridgeshire,622312,7841,4958,29039,28373,625908,7758,7553,:,:,628918,6847,5135,28677,28351,635186,7421,4691,30185,29450,641524,7864,4355,30415,30164,644575,7749,5946,29586,30416,648237,7080,5865,34819,34305,651482,8977,7440,35066,34799,653537,8169,7709,35851,35766,657204,8663,6218,32978,32071
E10000006,Cumbria,499817,1583,1273,11317,11576,499205,1336,1169,:,:,498499,1253,1128,11426,11579,498376,1378,1358,12212,12028,498581,1580,1238,12113,11463,498793,1592,1126,11882,11518,498375,1394,1529,13285,12183,498888,1625,1465,13595,11929,500012,1425,826,13783,12360,499781,1301,1040,12302,10519
E10000007,Derbyshire,770688,1609,1347,23940,22354,773726,1230,1004,:,:,776639,1305,950,24601,22533,780382,1484,656,26516,24011,783082,1597,740,26076,23554,786734,1610,822,26055,23157,791966,1508,798,32239,27182,796142,1475,1423,32438,27472,802694,1426,899,34771,27891,807183,1293,557,30581,24950
E10000008,Devon,747709,4690,2782,30288,26964,753102,3803,1990,:,:,757930,3992,2070,30225,26446,764702,4360,2337,33270,27861,772406,4582,2097,33745,26776,778831,4474,2901,33399,26958,787171,4019,2673,39717,30779,795286,4641,2183,39583,31495,802375,4459,3435,40372,32365,810716,4845,2480,37067,28546
E10000011,East Sussex,527209,2358,2197,19901,16095,531088,2295,2048,:,:,534904,2012,1548,20598,16153,540503,2297,1230,22380,17115,545021,2382,1229,21547,16714,549557,2641,1100,21122,16830,552259,2287,1193,21809,18667,554590,2665,1471,21709,18749,557229,2420,1397,22120,18761,558852,2367,1582,20107,16936
E10000012,Essex,1396599,6667,4519,44181,40407,1407084,5457,3893,:,:,1417596,5357,3374,46206,40676,1433282,6424,2978,51101,42685,1445323,7458,2655,50024,44941,1457910,7489,3866,50301,43853,1468177,6531,3679,56289,50841,1477764,7065,4483,57150,51468,1489189,6631,4232,59524,52435,1497759,6643,3748,52719,47058
E10000013,Gloucestershire,598289,3273,1805,21606,19790,602216,3136,2247,:,:,605959,2689,2050,22096,19805,611739,3277,2347,23975,20126,617527,3396,2321,23963,19804,623094,3433,2578,23765,19890,628139,3098,2407,27249,23127,633558,3510,2289,27041,23216,637070,3171,3338,27689,24139,640650,3093,2089,24877,21647
E11000001,Greater Manchester (Met County),2685386,25899,16016,62767,66954,2701377,21659,14457,:,:,2713572,21051,16244,62013,67919,2730123,24061,16691,65098,69844,2754017,27688,14207,66781,68300,2780844,30298,15240,67422,68871,2798799,25093,17371,78405,80040,2812569,26499,18372,78220,82378,2835686,26808,12156,83395,85835,2848286,27269,16777,74237,78763
E10000014,Hampshire,1322118,6028,5130,49196,44991,1331394,4902,4090,:,:,1340180,4555,4020,50424,45384,1349627,5440,3070,51623,47637,1356994,5543,3417,51671,48483,1365103,5741,3118,50715,48262,1370728,5094,3543,58179,55202,1376316,5620,4252,58366,53893,1382542,4927,4175,59865,55157,1389206,4687,4670,53602,47268
E10000015,Hertfordshire,1119824,7199,5439,45648,41538,1129291,6017,6300,:,:,1140618,6238,4857,48583,43835,1154195,7627,3626,50919,47428,1165332,8372,3539,50351,48983,1176386,8967,4329,50400,49591,1180934,7700,4897,54955,57892,1184365,8351,5919,55035,58239,1189519,7780,5689,57849,58874,1195672,7574,5244,52252,51041
E10000016,Kent,1466466,9400,6602,48505,42308,1480151,8623,6074,:,:,1493114,7821,5247,50808,43764,1509301,9591,4600,54437,46621,1523100,10402,4503,53407,47467,1540438,10610,4215,54097,46135,1554636,9384,4861,58675,51477,1568623,9660,5673,59565,51556,1581555,9073,5812,62066,53962,1589057,8922,7636,53861,47592
E10000017,Lancashire,1171558,6767,3393,36294,35681,1175370,5527,3208,:,:,1178594,5415,3777,37668,37699,1182605,6036,3973,39771,39125,1188875,6492,3336,39303,37487,1195418,6835,3871,39409,37263,1201855,6112,4408,45385,40801,1210053,8133,3547,45066,40515,1219799,7378,2182,46737,42250,1227076,7664,3401,43199,37939
E10000018,Leicestershire,651179,3589,1707,26635,24697,656182,2806,1935,:,:,660917,2514,1614,28102,25385,666682,2905,1394,30123,26827,673410,3005,1567,30393,26015,680466,3072,1536,30298,25843,690212,2774,1321,37099,29139,698268,3248,2328,37809,31291,706155,3264,1713,38527,32700,713085,3528,1188,34068,29284
E10000019,Lincolnshire,714768,3901,2149,25262,23190,719184,3759,2008,:,:,724523,4341,1901,26716,23928,731886,4732,1339,28402,25253,737350,5156,1452,27086,25130,744811,5350,1514,27695,24482,751171,4537,1714,32949,28619,755833,4758,3449,32965,28152,761224,4225,2330,33787,29081,766333,4018,1374,31022,26584
E11000002,Merseyside (Met County),1380770,9110,5285,28545,31465,1386444,7744,4138,:,:,1388143,7958,5122,29980,32219,1393548,9219,5825,32330,32754,1401516,10161,4970,33524,31752,1411155,10633,5675,34814,31682,1416825,9462,7603,39986,37135,1423065,11109,8355,41954,38724,1429910,10594,5462,42135,41001,1434256,10978,7372,41610,38520
E10000020,Norfolk,859426,5643,2109,24836,22220,864847,4976,2921,:,:,870296,5189,2674,25553,22459,877388,5657,2124,26734,23848,884748,6207,1933,26893,23167,891731,6097,3114,27414,22538,898390,5383,3265,31566,26131,903680,5433,4179,32508,26450,907760,5315,3804,33007,28299,914039,5422,3126,31891,24710
E10000023,North Yorkshire,601206,2428,1806,21602,20766,603508,2254,2245,:,:,604724,2069,1613,23174,21668,604730,2384,1862,23992,22919,606017,2296,1475,24054,22430,609538,2515,1415,24184,21889,611633,2342,1589,27838,25546,614505,2661,1453,27837,24677,618054,2368,1969,28771,25392,620610,2303,1337,25602,21963
E10000024,Nottinghamshire,786796,3001,1964,26895,26275,790167,2611,1777,:,:,796423,2647,1639,30415,26615,801616,2806,1260,30862,28697,806217,3178,1327,30708,28265,811483,3503,1421,30314,28030,817851,3023,1469,35733,31354,823126,3063,2593,36381,31300,828224,2885,1719,37032,32975,833377,2789,1192,34481,29701
